D e l e g a c i o n e s ,Total de Ingresos 2005,Total de Ingresos 2006,Total de Ingresos 2007,Total de Ingresos 2008,Total de Ingresos 2009,Total de Ingresos 2010,Total de Ingresos 2011,Total de Ingresos 2012,Total de Ingresos 2013,Total de Ingresos 2014,Total de Ingresos 2015,,Ingresos Programados 2005,Ingresos Programados 2006,Ingresos Programados 2007,Ingresos Programados 2008,Ingresos Programados 2009,Ingresos Programados 2010,Ingresos Programados 2011,Ingresos Programados 2012,Ingresos Programados 2013,Ingresos Programados 2014,Ingresos Programados 2015,,Ingresos Urgentes 2005,Ingresos Urgentes 2006,Ingresos Urgentes 2007,Ingresos Urgentes 2008,Ingresos Urgentes 2009,Ingresos Urgentes 2010,Ingresos Urgentes 2011,Ingresos Urgentes 2012,Ingresos Urgentes 2013,Ingresos Urgentes 2014,Ingresos Urgentes 2015,,Egresos 2005,Egresos 2006,Egresos 2007,Egresos 2008,Egresos 2009,Egresos 2010,Egresos 2011,Egresos 2012,Egresos 2013,Egresos 2014,Egresos 2015,Intervenciones Quirúrgicas 2005,Intervenciones Quirúrgicas 2006, Intervenciones Quirúrgicas 2007, Intervenciones Quirúrgicas 2008, Intervenciones Quirúrgicas 2009, Intervenciones Quirúrgicas 2010,Intervenciones Quirúrgicas  2011, Intervenciones Quirúrgicas 2012, Intervenciones Quirúrgicas 2013,Intervenciones Quirúrgicas 2014,Intervenciones Quirúrgicas 2015,Días Estancia 2005,Días Estancia 2006,Días Estancia 2007,Días Estancia 2008,Días Estancia 2009,Días Estancia 2010,Días Estancia 2011,Días Estancia 2012,Días Estancia 2013,Días Estancia 2014,Días Estancia 2015,Defunciones 2005,Defunciones 2006,Defunciones 2007,Defunciones 2008,Defunciones 2009,Defunciones 2010,Defunciones 2011,Defunciones 2012,Defunciones 2013,Defunciones 2014,Defunciones 2015
     Nayarit,19148 ,18831 ,18860 ,18547 ,18974 ,18416 ,19421 ,20245 ,18328 ,18353 ,17370 ,,6324 ,6698 ,6608 ,7447 ,7264 ,7139 ,8491 ,6149 ,4928 ,5456 ,4908 ,,12824 ,12133 ,12252 ,11100 ,11710 ,11277 ,10930 ,12179 ,14096 ,12897 ,12462 ,,19035 ,18617 ,18775 ,18571 ,18885 ,18244 ,19174 ,18169 ,20194 ,18336 ,17352 ,12555 ,12337 ,12331 ,12725 ,12625 ,12971 ,13995 ,14095 ,14421 ,14231 ,14214 ,63793 ,67301 ,64903 ,63812 ,67389 ,66631 ,72368 ,64632 ,73691 ,68656 ,69568 ,500 ,468 ,515 ,574 ,577 ,585 ,544 ,548 ,606 ,540 ,590 
     Nuevo León,139206 ,136592 ,134095 ,132267 ,127610 ,131305 ,143093 ,147091 ,146832 ,142247 ,139948 ,,37752 ,33377 ,31569 ,28461 ,32558 ,41062 ,39218 ,40068 ,34709 ,33817 ,29323 ,,101454 ,103215 ,102526 ,103806 ,95052 ,90243 ,103875 ,106764 ,107023 ,108430 ,110625 ,,138328 ,135498 ,133190 ,131090 ,125917 ,129601 ,140422 ,144635 ,145713 ,141036 ,139679 ,124518 ,108074 ,103426 ,103256 ,103074 ,97639 ,101351 ,105910 ,106929 ,109214 ,104857 ,711891 ,718432 ,744017 ,722413 ,737942 ,752607 ,777604 ,760940 ,773107 ,751978 ,745095 ,5659 ,5708 ,5809 ,5945 ,6210 ,6364 ,6618 ,6763 ,6994 ,6707 ,6902 
     Oaxaca,22651 ,22547 ,22672 ,22046 ,23171 ,24633 ,25023 ,23912 ,24649 ,24592 ,24555 ,,5662 ,5242 ,5554 ,4756 ,4867 ,4423 ,5116 ,5313 ,4016 ,3734 ,4283 ,,16989 ,17305 ,17118 ,17290 ,18304 ,20210 ,19907 ,19336 ,18599 ,20858 ,20272 ,,22558 ,22490 ,22582 ,22052 ,23112 ,24592 ,25007 ,24583 ,23918 ,24577 ,24550 ,17195 ,17060 ,17568 ,17774 ,16988 ,17216 ,17673 ,17907 ,17852 ,17875 ,17799 ,83057 ,85297 ,87378 ,82581 ,85906 ,87971 ,91384 ,91421 ,90892 ,96208 ,95280 ,457 ,506 ,517 ,480 ,481 ,552 ,541 ,517 ,571 ,638 ,625 
     Puebla,66167 ,64715 ,64643 ,66838 ,65287 ,71228 ,73654 ,75155 ,75383 ,74477 ,71262 ,,34128 ,33051 ,31658 ,28225 ,21362 ,18784 ,19380 ,19386 ,16502 ,18612 ,18918 ,,32039 ,31664 ,32985 ,38613 ,43925 ,52444 ,54274 ,55997 ,55769 ,55865 ,52344 ,,65372 ,63669 ,63293 ,65814 ,64603 ,70239 ,72843 ,75353 ,76039 ,73896 ,70557 ,56269 ,55017 ,51361 ,53548 ,53956 ,54747 ,55501 ,54779 ,54231 ,53693 ,51453 ,313753 ,318580 ,328282 ,325500 ,333204 ,357920 ,376902 ,384613 ,370326 ,365382 ,371136 ,2402 ,2264 ,2558 ,2464 ,2495 ,2675 ,3056 ,3263 ,3243 ,3091 ,3113 
     Querétaro,25055 ,25225 ,27229 ,26710 ,26638 ,26663 ,26859 ,26737 ,27452 ,25722 ,25476 ,,4033 ,4207 ,4677 ,5183 ,4437 ,4666 ,4342 ,4323 ,3983 ,3965 ,4023 ,,21022 ,21018 ,22552 ,21527 ,22201 ,21997 ,22517 ,23129 ,22414 ,21757 ,21453 ,,25224 ,25514 ,27385 ,26856 ,26658 ,26643 ,27014 ,27677 ,27304 ,25966 ,25623 ,22762 ,24011 ,26333 ,27012 ,25923 ,26972 ,26538 ,26132 ,25551 ,25586 ,25298 ,107622 ,107535 ,114764 ,110973 ,109511 ,112249 ,114905 ,123838 ,123841 ,120577 ,122836 ,814 ,852 ,980 ,1075 ,1116 ,1122 ,1175 ,1205 ,1316 ,1229 ,1135 
     Quintana Roo,21921 ,21725 ,23416 ,25745 ,27305 ,27391 ,32433 ,34754 ,33578 ,32971 ,34144 ,,3678 ,3711 ,3414 ,3781 ,4597 ,4478 ,5112 ,5464 ,5527 ,5386 ,5760 ,,18243 ,18014 ,20002 ,21964 ,22708 ,22913 ,27321 ,28114 ,29290 ,27585 ,28384 ,,21703 ,21556 ,23127 ,25645 ,27218 ,27323 ,32310 ,33447 ,34589 ,32849 ,34049 ,15172 ,14817 ,15280 ,16277 ,18361 ,17901 ,20187 ,21691 ,22647 ,22040 ,22540 ,75766 ,80152 ,87777 ,94704 ,105086 ,107308 ,128530 ,133310 ,144283 ,146917 ,154942 ,451 ,498 ,501 ,589 ,714 ,721 ,778 ,844 ,979 ,980 ,1149 
     San Luis Potosí,37080 ,37408 ,39828 ,40631 ,39272 ,40787 ,41439 ,42329 ,41166 ,43302 ,44522 ,,7630 ,6953 ,7656 ,8073 ,7806 ,7711 ,8078 ,7608 ,8297 ,7555 ,8150 ,,29450 ,30455 ,32172 ,32558 ,31466 ,33076 ,33361 ,33558 ,34721 ,35747 ,36372 ,,36529 ,36770 ,39521 ,40274 ,39085 ,40476 ,41068 ,40742 ,41870 ,42876 ,43623 ,25705 ,25136 ,26619 ,27213 ,26745 ,28107 ,28673 ,29607 ,29728 ,28662 ,28142 ,166671 ,182171 ,195129 ,183395 ,182439 ,183680 ,175056 ,186011 ,186290 ,199356 ,198956 ,1292 ,1292 ,1472 ,1492 ,1561 ,1571 ,1571 ,1572 ,1651 ,1667 ,1475 
     Sinaloa,61780 ,60879 ,60291 ,62993 ,61931 ,62006 ,64582 ,68509 ,66569 ,69427 ,68270 ,,13848 ,13016 ,14354 ,14212 ,14387 ,12976 ,12781 ,12216 ,12721 ,11814 ,12292 ,,47932 ,47863 ,45937 ,48781 ,47544 ,49030 ,51801 ,54353 ,56293 ,57613 ,55978 ,,61041 ,59787 ,59792 ,63040 ,61855 ,62494 ,65015 ,66796 ,68018 ,68659 ,67426 ,43887 ,42059 ,43065 ,46650 ,48227 ,48230 ,47830 ,49045 ,49565 ,49494 ,49673 ,271813 ,286773 ,282549 ,279134 ,278625 ,283554 ,290888 ,307895 ,308661 ,323085 ,321853 ,2064 ,2015 ,2149 ,2213 ,2511 ,2482 ,2510 ,2647 ,2705 ,2702 ,2812 
     Sonora,63757 ,65774 ,68939 ,69748 ,65893 ,65822 ,67051 ,69283 ,67474 ,70506 ,68382 ,,17745 ,18200 ,19247 ,18481 ,17860 ,16594 ,17269 ,17791 ,18916 ,19030 ,19282 ,,46012 ,47574 ,49692 ,51267 ,48033 ,49228 ,49782 ,49683 ,51492 ,51476 ,49100 ,,63539 ,65836 ,68940 ,69625 ,65616 ,65493 ,66628 ,67227 ,68916 ,69935 ,67791 ,43337 ,44968 ,46206 ,45818 ,46998 ,49259 ,49028 ,51038 ,55272 ,56114 ,53063 ,286999 ,296577 ,305662 ,331809 ,321068 ,327589 ,336424 ,335260 ,349132 ,363072 ,367316 ,1899 ,1826 ,1890 ,2097 ,2163 ,2294 ,2280 ,2450 ,2573 ,2623 ,2705 
     Tabasco,17226 ,17367 ,19218 ,19957 ,20799 ,18978 ,18706 ,19147 ,19577 ,18931 ,18298 ,,3848 ,2859 ,3319 ,3832 ,3263 ,3506 ,3250 ,3664 ,3266 ,3414 ,3609 ,,13378 ,14508 ,15899 ,16125 ,17536 ,15472 ,15456 ,15913 ,15483 ,15517 ,14689 ,,16998 ,17182 ,19015 ,19709 ,20542 ,18737 ,18370 ,19263 ,18781 ,18694 ,17952 ,14640 ,13934 ,13356 ,14538 ,15176 ,15370 ,15513 ,15624 ,15617 ,15490 ,14672 ,62617 ,63335 ,63817 ,72769 ,78970 ,72209 ,73892 ,79496 ,79895 ,81953 ,86538 ,290 ,338 ,327 ,363 ,422 ,470 ,482 ,468 ,556 ,556 ,478 
     Tamaulipas,66512 ,64837 ,66842 ,66136 ,62207 ,57592 ,58848 ,56563 ,59114 ,55009 ,53958 ,,15811 ,17824 ,15160 ,15097 ,12870 ,11137 ,11515 ,12468 ,10458 ,11215 ,11230 ,,50701 ,47013 ,51682 ,51039 ,49337 ,46455 ,47333 ,46646 ,44095 ,43794 ,42728 ,,66364 ,64997 ,66784 ,66133 ,62055 ,57443 ,59013 ,59068 ,56517 ,54863 ,53992 ,45333 ,46796 ,47439 ,47098 ,46554 ,45711 ,45724 ,44317 ,43957 ,42560 ,40507 ,293813 ,291066 ,289505 ,274269 ,258251 ,259922 ,271535 ,281410 ,278939 ,293544 ,281414 ,2426 ,2435 ,2491 ,2568 ,2593 ,2891 ,2945 ,3128 ,3177 ,2965 ,2853 
     Tlaxcala,15131 ,17247 ,18060 ,15944 ,15789 ,15066 ,14836 ,15148 ,14651 ,15115 ,14573 ,,2768 ,2777 ,2799 ,2341 ,2316 ,2263 ,1878 ,1677 ,1536 ,1993 ,2055 ,,12363 ,14470 ,15261 ,13603 ,13473 ,12803 ,12958 ,12974 ,13471 ,13122 ,12518 ,,15045 ,17110 ,17964 ,15920 ,15731 ,15026 ,14797 ,14609 ,15141 ,15079 ,14577 ,9782 ,10277 ,10460 ,10271 ,10015 ,9854 ,9723 ,9851 ,10922 ,10844 ,9966 ,53857 ,62388 ,58787 ,54315 ,59381 ,52713 ,53395 ,51934 ,55611 ,52992 ,53520 ,317 ,310 ,351 ,325 ,401 ,404 ,407 ,441 ,464 ,424 ,423 
     Veracruz Norte,62824 ,61858 ,62064 ,62793 ,63415 ,64460 ,65240 ,64381 ,66589 ,63063 ,61879 ,,21318 ,18642 ,20298 ,19031 ,19099 ,19211 ,19425 ,18121 ,17786 ,15925 ,15709 ,,41506 ,43216 ,41766 ,43762 ,44316 ,45249 ,45815 ,48468 ,46260 ,47138 ,46170 ,,62249 ,61401 ,61517 ,62316 ,62836 ,63866 ,64641 ,65604 ,63578 ,61847 ,61185 ,48331 ,47713 ,47393 ,47454 ,46508 ,46910 ,47449 ,45902 ,45993 ,43549 ,42588 ,284252 ,279833 ,286773 ,297796 ,297114 ,318087 ,322735 ,350221 ,338192 ,354926 ,345764 ,2023 ,2003 ,2099 ,2187 ,2277 ,2440 ,2393 ,2467 ,2558 ,2355 ,2683 
     Veracruz Sur,49565 ,50130 ,51992 ,51527 ,51894 ,50861 ,48529 ,50308 ,50611 ,48671 ,46693 ,,11022 ,10381 ,10032 ,10414 ,10423 ,9583 ,10189 ,9506 ,8948 ,9551 ,9059 ,,38543 ,39749 ,41960 ,41113 ,41471 ,41278 ,38340 ,41105 ,40802 ,39120 ,37634 ,,49172 ,49746 ,51464 ,51208 ,51624 ,50272 ,47747 ,50331 ,49836 ,48106 ,45697 ,34851 ,33700 ,33539 ,33227 ,33114 ,34054 ,35002 ,36139 ,35017 ,33586 ,31905 ,198896 ,203952 ,214323 ,213535 ,212443 ,213493 ,203811 ,203725 ,199017 ,199132 ,187619 ,1378 ,1456 ,1613 ,1669 ,1678 ,1844 ,1750 ,1847 ,1951 ,1904 ,2100 
     Yucatán,44907 ,43773 ,45638 ,47433 ,47140 ,45256 ,47039 ,46230 ,46783 ,45182 ,44721 ,,10627 ,10485 ,11349 ,11688 ,11644 ,10923 ,14315 ,11993 ,12152 ,14320 ,13406 ,,34280 ,33288 ,34289 ,35745 ,35496 ,34333 ,32724 ,34790 ,34237 ,30862 ,31315 ,,43713 ,42328 ,44673 ,46133 ,45979 ,44863 ,46707 ,46050 ,45757 ,44588 ,43750 ,27413 ,28740 ,31855 ,31353 ,30322 ,29475 ,29457 ,31431 ,32111 ,29582 ,26776 ,238865 ,246268 ,241922 ,238107 ,240360 ,226609 ,229294 ,240614 ,250697 ,246549 ,251508 ,1644 ,1558 ,1672 ,1881 ,1978 ,1964 ,1798 ,1937 ,1805 ,1749 ,1940 
     Zacatecas,18909 ,17892 ,18294 ,17925 ,18234 ,18620 ,18269 ,17256 ,17873 ,16975 ,16084 ,,3686 ,3363 ,3868 ,4510 ,3489 ,3445 ,3578 ,3956 ,3595 ,3276 ,3081 ,,15223 ,14529 ,14426 ,13415 ,14745 ,15175 ,14691 ,13917 ,13300 ,13699 ,13003 ,,18564 ,17433 ,17900 ,17548 ,17889 ,18393 ,18041 ,17790 ,17130 ,16767 ,16033 ,12479 ,12496 ,12865 ,13543 ,14191 ,13531 ,14185 ,14509 ,13865 ,13271 ,12028 ,75599 ,73449 ,78189 ,75969 ,82088 ,90298 ,84676 ,81049 ,76395 ,79678 ,74037 ,537 ,580 ,540 ,621 ,617 ,713 ,712 ,786 ,792 ,809 ,749 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
